dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2021-12-28,1007.05,500,Cal,0,0,128,30,17,10
2021-12-29,613.177,500,Cal,0,0,56,30,14,10
2021-12-30,928.331,500,Cal,0,0,93,30,15,10
2021-12-31,814.236,500,Cal,0,0,93,30,17,10
2022-01-01,821.874,500,Cal,0,0,85,30,15,10
2022-01-02,654.095,500,Cal,0,0,74,30,15,10
2022-01-03,807.995,500,Cal,0,0,36,30,15,10
2022-01-04,439.313,500,Cal,0,0,2,30,15,10
2022-01-05,608.749,500,Cal,0,0,40,30,15,10
2022-01-06,650.14,500,Cal,0,0,44,30,18,10
2022-01-07,645.368,500,Cal,0,0,33,30,16,10
2022-01-08,780.047,500,Cal,0,0,64,30,13,10
2022-01-09,616.854,500,Cal,0,0,31,30,16,10
2022-01-10,648.906,500,Cal,0,0,39,30,17,10
2022-01-11,626.198,500,Cal,0,0,33,30,16,10
2022-01-12,633.97,500,Cal,0,0,57,30,17,10
2022-01-13,631.496,500,Cal,0,0,53,30,16,10
2022-01-14,640.764,500,Cal,0,0,53,30,17,10
2022-01-15,809.872,500,Cal,0,0,49,30,17,10
2022-01-16,568.513,500,Cal,0,0,26,30,16,10
2022-01-17,840.487,500,Cal,0,0,98,30,16,10
2022-01-18,632.796,500,Cal,0,0,49,30,17,10
2022-01-19,841.151,500,Cal,0,0,96,30,17,10
2022-01-20,694.21,500,Cal,0,0,43,30,14,10
2022-01-21,633.119,500,Cal,0,0,24,30,16,10
2022-01-22,799.207,500,Cal,0,0,52,30,15,10
2022-01-23,614.037,500,Cal,0,0,27,30,16,10
2022-01-24,761.462,500,Cal,0,0,68,30,15,10
2022-01-25,789.081,500,Cal,0,0,67,30,12,10
2022-01-26,651.713,500,Cal,0,0,39,30,17,10
2022-01-27,758.916,500,Cal,0,0,57,30,17,10
2022-01-28,874.334,500,Cal,0,0,96,30,17,10
2022-01-29,881.646,500,Cal,0,0,59,30,16,10
2022-01-30,681.02,500,Cal,0,0,17,30,15,10
2022-01-31,663.731,500,Cal,0,0,26,30,15,10
2022-02-01,753.193,500,Cal,0,0,61,30,16,10
2022-02-02,678.471,500,Cal,0,0,48,30,17,10
2022-02-03,710.543,500,Cal,0,0,68,30,18,10
2022-02-04,668.338,500,Cal,0,0,33,30,14,10
2022-02-05,696.699,500,Cal,0,0,56,30,14,10
2022-02-06,606.268,500,Cal,0,0,51,30,16,10
2022-02-07,655.03,500,Cal,0,0,35,30,16,10
2022-02-08,787.747,500,Cal,0,0,65,30,13,10
2022-02-09,805.551,500,Cal,0,0,66,30,16,10
2022-02-10,803.311,500,Cal,0,0,91,30,15,10
2022-02-11,757.476,500,Cal,0,0,70,30,16,10
2022-02-12,1361.58,500,Cal,0,0,167,30,16,10
2022-02-13,642.525,500,Cal,0,0,25,30,17,10
2022-02-14,662.335,500,Cal,0,0,38,30,16,10
2022-02-15,768.841,500,Cal,0,0,66,30,17,10
2022-02-16,822.921,500,Cal,0,0,75,30,15,10
2022-02-17,793.878,500,Cal,0,0,65,30,17,10
2022-02-18,740.013,500,Cal,0,0,67,30,16,10
2022-02-19,755.203,500,Cal,0,0,59,30,16,10
2022-02-20,774.849,500,Cal,0,0,52,30,15,10
2022-02-21,1039.4,500,Cal,0,0,126,30,14,10
2022-02-22,738.444,500,Cal,0,0,60,30,17,10
2022-02-23,772.53,500,Cal,0,0,68,30,16,10
2022-02-24,746.418,500,Cal,0,0,60,30,16,10
2022-02-25,665.929,500,Cal,0,0,38,30,15,10
2022-02-26,968.692,500,Cal,0,0,75,30,17,10
2022-02-27,662.595,500,Cal,0,0,48,30,14,10
2022-02-28,762.309,500,Cal,0,0,80,30,15,10
2022-03-01,935.274,500,Cal,0,0,70,30,16,10
2022-03-02,635.579,500,Cal,0,0,31,30,17,10
2022-03-03,821.047,500,Cal,0,0,60,30,17,10
2022-03-04,737.021,500,Cal,0,0,46,30,19,10
2022-03-05,926.061,500,Cal,0,0,78,30,18,10
2022-03-06,716.935,500,Cal,0,0,51,30,15,10
2022-03-07,811.985,500,Cal,0,0,71,30,16,10
2022-03-08,728.597,500,Cal,0,0,61,30,15,10
